keys,en
反物质弹数量,Number of antimatter bullets
机动等级,Maneuver level
步枪等级,Rifle class
迷彩等级,Camouflage level
工兵等级,Engineer level
手雷等级,Grenade level
迫击炮等级,Mortar grade
行军等级,Marching Rank
防弹衣等级,Body armor grade
装甲等级,Armor level
主炮等级,Main gun level
车体等级,Body grade
引擎等级,Engine rating
机枪等级,Machine gun level
突袭等级,Raid level
坦克防空等级,Tank anti-aircraft rating
强化车体等级,Strengthened body grade
火炮炮击等级,Artillery shelling level
火箭弹等级,Rocket level
火炮牵引等级,Artillery towing level
火炮装甲等级,Artillery armor level
火炮火力等级,Artillery fire level
火炮火箭等级,Artillery rocket class
伪装等级,Camouflage level
舰艇船体等级,Ship hull class
推进器等级,Thruster grade
舰艇装甲等级,Ship armor level
武器等级,Weapon level
舰艇舰炮等级,Ship gun level
鱼雷等级,Torpedo rating
舰艇扫雷,Ship minesweeper
防空武器等级,Rating of anti-aircraft weapons
现代舰艇等级,Modern ship class
航空燃油等级,Jet fuel grade
航空发动机等级,Aero engine grade
航空炸弹等级,Aerial bomb level
空袭等级,Air Raid Level
轰炸等级,Bombing level
战略轰炸等级,Strategic bombing level
空降兵等级,Airborne Forces Rank
喷气发动机等级,Jet engine rating
机枪堡等级,Machine Gun Fort Level
要塞炮等级,Fortress Cannon Level
海岸炮等级,Coastal Artillery Grade
火箭发射器等级,Rocket launcher level
工事等级,Fortification level
高射机枪等级,Anti-aircraft machine gun class
防空炮等级,Anti-aircraft gun grade
对空导弹等级,Anti-aircraft missile class
雷达等级,Radar level
弹头,warhead
固体火箭发动机等级,Solid rocket motor grade
破防等级,Break Level
核聚变等级,Nuclear fusion grade
科技等级,Tech level
地块类型,Plot type
地块ID,Parcel ID
地块X,Plot X
地块Y,Plot Y
装饰类型A,Decoration type A
装饰AID,Decoration AID
装饰AX,Decorate AX
装饰AY,Decorate AY
装饰类型B,Decoration Type B
装饰BID,Decoration BID
装饰BX,Decorate BX
装饰BY,Decoration BY
水边缘,Water edge
路边缘,The edge of the road
海岸,coast
名称,name
等级,grade
外观,appearance
地标,landmark
奇观,spectacle
奖励类型,Reward type
奖励数量,Number of rewards
仇恨值,Aggro
据点,stronghold
触发事件,Trigger an event
火焰类型,Flame type
防空武器,Anti-aircraft weapons
防空武器范围,Range of anti-aircraft weapons
工厂,factory
科技,technology
补给站,depot
航空,aviation
导弹,missile
核弹,nuclear bomb
empty7,empty7
empty8,empty8
empty9,empty9
方案编号,Scheme number
终结事件,Terminate the event
目标地块,Target plots
天气类型,Weather type
事件ID,Event ID
关联事件,Correlation events
触发条件,Trigger conditions
事件类型,The type of event
触发军团,Trigger the clan
影响军团,Affects the Legion
目标值,target value
Zero,Zero
对话代码,Conversation code
默认结束段,The default end segment
勋章1,Medal 1
勋章2,Medal 2
勋章3,Medal 3
所属国家,Country
爆兵回合,Explosive round
胸章1,Badge 1
胸章2,Badge 2
胸章3,Badge 3
精英兵种,Elite class
Id,Id
军团序号,Clan serial number
方向,direction
移动力,Movement force
建造回合,Build rounds
兵种经验,Class experience
血量加成,HP bonus
当前血量,Current HP
血量上限,Max HP
胸章一,Badge one
胸章二,Badge II
胸章三,Badge III
移动目标,Move the target
empty2,empty2
行为方案,Behavioral scenarios
改变回合,Change the round
士气,morale
士气持续回合,Morale lasts for a turn
盾牌标志,Shield emblem
固守最短距离,Stick to the shortest distance
坐标,coordinate
兵种,Arms
编制,weave
运输船,Transport
方针,policy
empty1,empty1
军衔,military rank
爵位,title
技能等级1,Skill Level 1
技能等级2,Skill Level 2
技能等级3,Skill Level 3
技能等级4,Skill level 4
技能等级5,Skill level 5
确定选择,confirm the selection
